movieId,tmdbId,title
66,11525,Lawnmower Man 2: Beyond Cyberspace (1996)
67,40628,Two Bits (1995)
68,4482,French Twist (Gazon maudit) (1995)
69,10634,Friday (1995)
70,755,From Dusk Till Dawn (1996)
71,11859,Fair Game (1995)
72,28387,Kicking and Screaming (1995)
73,48750,"Misérables, Les (1995)"
74,20927,Bed of Roses (1996)
75,36929,Big Bully (1996)
76,9102,Screamers (1995)
77,124626,Nico Icon (1995)
78,27526,"Crossing Guard, The (1995)"
79,9623,"Juror, The (1996)"
80,46785,"White Balloon, The (Badkonake sefid) (1995)"
81,400,Things to Do in Denver When You're Dead (1995)
82,880,Antonia's Line (Antonia) (1995)
83,146599,Once Upon a Time... When We Were Colored (1995)
84,188588,Last Summer in the Hamptons (1995)
85,8447,Angels and Insects (1995)
86,10534,White Squall (1996)
87,17414,Dunston Checks In (1996)
88,13997,Black Sheep (1996)
89,2086,Nick of Time (1995)
90,61548,"Journey of August King, The (1995)"
92,9095,Mary Reilly (1996)
93,12158,Vampire in Brooklyn (1995)
94,9283,Beautiful Girls (1996)
95,9208,Broken Arrow (1996)
96,40154,In the Bleak Midwinter (1995)
97,406,"Hate (Haine, La) (1995)"
98,45549,Shopping (1994)
99,63076,Heidi Fleiss: Hollywood Madam (1995)
100,11062,City Hall (1996)
101,13685,Bottle Rocket (1996)
102,47475,Mr. Wrong (1996)
103,2045,Unforgettable (1996)
104,9614,Happy Gilmore (1996)
105,688,"Bridges of Madison County, The (1995)"
106,11907,Nobody Loves Me (Keiner liebt mich) (1994)
107,10874,Muppet Treasure Island (1996)
108,89333,Catwalk (1996)
109,96357,Headless Body in Topless Bar (1995)
110,197,Braveheart (1995)
111,103,Taxi Driver (1976)
112,33542,Rumble in the Bronx (Hont faan kui) (1995)
113,43566,Before and After (1996)
114,71754,Margaret's Museum (1995)
115,43612,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
116,51352,Anne Frank Remembered (1995)
117,16934,"Young Poisoner's Handbook, The (1995)"
118,10324,If Lucy Fell (1996)
119,78406,"Steal Big, Steal Little (1995)"
120,55731,Race the Sun (1996)
121,32119,"Boys of St. Vincent, The (1992)"
122,11066,Boomerang (1992)
123,11104,Chungking Express (Chung Hing sam lam) (1994)
124,37975,"Star Maker, The (Uomo delle stelle, L') (1995)"
125,2074,Flirting With Disaster (1996)
126,27793,"NeverEnding Story III, The (1994)"
127,44284,"Silences of the Palace, The (Saimt el Qusur) (1994)"
128,290157,Jupiter's Wife (1994)
129,110972,Pie in the Sky (1996)
130,32622,Angela (1995)
131,73067,Frankie Starlight (1995)
132,11863,Jade (1995)
133,55475,Nueba Yol (1995)
134,124636,Sonic Outlaws (1995)
135,9101,Down Periscope (1996)
136,123360,From the Journals of Jean Seberg (1995)
137,5757,Man of the Year (1995)
138,39428,"Neon Bible, The (1995)"
139,124639,Target (1995)
140,9302,Up Close and Personal (1996)
141,11000,"Birdcage, The (1996)"
143,249882,Gospa (1995)
144,16388,"Brothers McMullen, The (1995)"
145,9737,Bad Boys (1995)
146,30765,"Amazing Panda Adventure, The (1995)"
147,10474,"Basketball Diaries, The (1995)"
148,22279,"Awfully Big Adventure, An (1995)"
149,30157,Amateur (1994)
150,568,Apollo 13 (1995)
151,11780,Rob Roy (1995)
152,34996,"Addiction, The (1995)"
153,414,Batman Forever (1995)
154,649,Beauty of the Day (Belle de jour) (1967)
155,1873,Beyond Rangoon (1995)
156,5894,Blue in the Face (1995)
157,1775,Canadian Bacon (1995)
158,8839,Casper (1995)
159,20649,Clockers (1995)
160,10329,Congo (1995)
161,8963,Crimson Tide (1995)
162,26564,Crumb (1994)
163,8068,Desperado (1995)
164,8512,Devil in a Blue Dress (1995)
165,1572,Die Hard: With a Vengeance (1995)
166,13552,"Doom Generation, The (1995)"
167,259209,Feast of July (1995)
168,6520,First Knight (1995)
169,9073,Free Willy 2: The Adventure Home (1995)
170,10428,Hackers (1995)
171,17447,Jeffrey (1995)
172,9886,Johnny Mnemonic (1995)
173,9482,Judge Dredd (1995)
174,19326,Jury Duty (1995)
175,9344,Kids (1995)
176,9071,Living in Oblivion (1995)
177,8973,Lord of Illusions (1995)
178,15730,Love & Human Remains (1993)
179,47608,Mad Love (1995)
180,2293,Mallrats (1995)
181,9070,Mighty Morphin Power Rangers: The Movie (1995)
182,68274,Moonlight and Valentino (1995)
183,48787,Mute Witness (1994)
184,34574,Nadja (1994)
185,1642,"Net, The (1995)"
186,11472,Nine Months (1995)
187,36196,Party Girl (1995)
188,11980,"Prophecy, The (1995)"
189,58372,Reckless (1995)
190,32646,Safe (1995)
191,10533,"Scarlet Letter, The (1995)"
192,56088,"Show, The (1995)"
193,10802,Showgirls (1995)
194,10149,Smoke (1995)
195,18402,Something to Talk About (1995)
196,9348,Species (1995)
197,139408,"Stars Fell on Henrietta, The (1995)"
198,281,Strange Days (1995)
199,5967,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
200,79593,"Tie That Binds, The (1995)"
201,47939,Three Wishes (1995)
202,36834,Total Eclipse (1995)
203,9090,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,3512,Under Siege 2: Dark Territory (1995)
205,52856,Unstrung Heroes (1995)
206,77350,Unzipped (1995)
207,9560,"Walk in the Clouds, A (1995)"
208,9804,Waterworld (1995)
209,31611,White Man's Burden (1995)
210,65796,Wild Bill (1995)
211,49805,"Browning Version, The (1994)"
212,26258,Bushwhacked (1995)
213,50797,Burnt by the Sun (Utomlyonnye solntsem) (1994)
214,19155,Before the Rain (Pred dozhdot) (1994)
215,76,Before Sunrise (1995)
216,11017,Billy Madison (1995)
217,37141,"Babysitter, The (1995)"
218,9382,Boys on the Side (1995)
219,6715,"Cure, The (1995)"
220,18256,Castle Freak (1995)
222,22625,Circle of Friends (1995)
223,2292,Clerks (1994)
224,1909,Don Juan DeMarco (1995)
225,8984,Disclosure (1994)
226,61813,Dream Man (1995)
227,4954,Drop Zone (1994)
228,62488,Destiny Turns on the Radio (1995)
229,10531,Death and the Maiden (1994)
230,11929,Dolores Claiborne (1995)
231,8467,Dumb & Dumber (Dumb and Dumber) (1994)
232,10451,Eat Drink Man Woman (Yin shi nan nu) (1994)
233,20156,Exotica (1994)
234,18395,Exit to Eden (1994)
235,522,Ed Wood (1994)
236,397,French Kiss (1995)
237,10525,Forget Paris (1995)
238,27985,Far From Home: The Adventures of Yellow Dog (1995)
239,15789,"Goofy Movie, A (1995)"
240,27303,Hideaway (1995)
241,21183,Fluke (1995)
242,10954,Farinelli: il castrato (1994)
243,47867,Gordy (1995)
244,43475,Gumby: The Movie (1995)
245,72031,"Glass Shield, The (1994)"
246,14275,Hoop Dreams (1994)
247,1024,Heavenly Creatures (1994)
248,17207,Houseguest (1994)
249,13701,Immortal Beloved (1994)
250,14819,Heavyweights (Heavy Weights) (1995)
251,32631,"Hunted, The (1995)"
252,11777,I.Q. (1994)
253,628,Interview with the Vampire: The Vampire Chronicles (1994)
254,87729,Jefferson in Paris (1995)
255,18713,"Jerky Boys, The (1995)"
256,6280,Junior (1994)
257,9061,Just Cause (1995)
258,37108,"Kid in King Arthur's Court, A (1995)"
259,6071,Kiss of Death (1995)
260,11,Star Wars: Episode IV - A New Hope (1977)
261,9587,Little Women (1994)
262,19101,"Little Princess, A (1995)"
263,49980,Ladybird Ladybird (1994)
264,17961,"Enfer, L' (1994)"
265,18183,Like Water for Chocolate (Como agua para chocolate) (1992)
266,4476,Legends of the Fall (1994)
267,11008,Major Payne (1995)
268,47504,Little Odessa (1994)
269,32325,My Crazy Life (Mi vida loca) (1993)
270,43742,Love Affair (1994)
271,28313,Losing Isaiah (1995)
272,11318,"Madness of King George, The (1994)"
273,3036,Mary Shelley's Frankenstein (Frankenstein) (1994)
274,40490,Man of the House (1995)
275,24070,Mixed Nuts (1994)
276,8986,Milk Money (1994)
277,10510,Miracle on 34th Street (1994)
278,17402,Miami Rhapsody (1995)
279,38722,My Family (1995)
280,8438,Murder in the First (1995)
281,11593,Nobody's Fool (1994)
282,1945,Nell (1994)
283,39310,New Jersey Drive (1995)
284,109560,New York Cop (Nyû Yôku no koppu) (1993)
285,56428,Beyond Bedlam (1993)
286,63105,Nemesis 2: Nebula (1995)
287,131957,Nina Takes a Lover (1994)
288,241,Natural Born Killers (1994)
289,9058,Only You (1994)
290,527,Once Were Warriors (1994)
291,18220,Poison Ivy II (1996)
292,6950,Outbreak (1995)
293,101,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
294,63020,"Perez Family, The (1995)"
295,2307,"Pyromaniac's Love Story, A (1995)"
296,680,Pulp Fiction (1994)
297,41478,Panther (1995)
298,25296,Pushing Hands (Tui shou) (1992)
299,40156,Priest (1994)
300,11450,Quiz Show (1994)
301,30304,Picture Bride (Bijo photo) (1994)
302,10452,"Queen Margot (Reine Margot, La) (1994)"
303,12106,"Quick and the Dead, The (1995)"
304,161495,Roommates (1995)
305,3586,Ready to Wear (Pret-A-Porter) (1994)
306,110,Three Colors: Red (Trois couleurs: Rouge) (1994)
307,108,Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,109,Three Colors: White (Trzy kolory: Bialy) (1994)
309,159185,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
310,36357,Rent-a-Kid (1995)
311,92769,Relative Fear (1994)
312,28033,Stuart Saves His Family (1995)
313,22586,"Swan Princess, The (1994)"
314,14334,"Secret of Roan Inish, The (1994)"
315,2636,"Specialist, The (1994)"
316,2164,Stargate (1994)
317,11395,"Santa Clause, The (1994)"
318,278,"Shawshank Redemption, The (1994)"
319,9905,Shallow Grave (1994)
320,87078,Suture (1993)
321,12527,Strawberry and Chocolate (Fresa y chocolate) (1993)
322,20306,Swimming with Sharks (1995)
324,36614,"Sum of Us, The (1994)"
325,27993,National Lampoon's Senior Trip (1995)
326,31439,To Live (Huozhe) (1994)
327,9067,Tank Girl (1995)
328,9059,Tales from the Crypt Presents: Demon Knight (1995)
329,193,Star Trek: Generations (1994)
330,25066,Tales from the Hood (1995)
331,46797,Tom & Viv (1994)
332,12122,Village of the Damned (1995)
333,11381,Tommy Boy (1995)
334,32636,Vanya on 42nd Street (1994)
335,36141,Underneath (1995)
336,95963,"Walking Dead, The (1995)"
337,1587,What's Eating Gilbert Grape (1993)
338,9271,Virtuosity (1995)
339,2064,While You Were Sleeping (1995)
340,19855,"War, The (1994)"
341,60855,Double Happiness (1994)
342,236,Muriel's Wedding (1994)
343,48287,"Baby-Sitters Club, The (1995)"
344,3049,Ace Ventura: Pet Detective (1994)
345,2759,"Adventures of Priscilla, Queen of the Desert, The (1994)"
346,12635,Backbeat (1993)
347,10497,Bitter Moon (1992)
348,11382,Bullets Over Broadway (1994)
349,9331,Clear and Present Danger (1994)
350,10731,"Client, The (1994)"
351,10464,"Corrina, Corrina (1994)"
352,34152,Crooklyn (1994)
353,9495,"Crow, The (1994)"
354,29973,Cobb (1994)
355,888,"Flintstones, The (1994)"
356,13,Forrest Gump (1994)
357,712,Four Weddings and a Funeral (1994)
358,16295,Higher Learning (1995)
359,48992,I Like It Like That (1994)
360,10879,I Love Trouble (1994)
361,10660,It Could Happen to You (1994)
362,10714,"Jungle Book, The (1994)"
363,41647,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
364,8587,"Lion King, The (1994)"
365,1689,Little Buddha (1993)
366,11596,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
367,854,"Mask, The (1994)"
368,9359,Maverick (1994)
369,23333,Mrs. Parker and the Vicious Circle (1994)
370,36593,Naked Gun 33 1/3: The Final Insult (1994)
371,12280,"Paper, The (1994)"
372,2788,Reality Bites (1994)
373,10427,Red Rock West (1992)
374,11011,Richie Rich (1994)
375,49803,Safe Passage (1994)
376,8987,"River Wild, The (1994)"
377,1637,Speed (1994)
378,15128,Speechless (1994)
379,8831,Timecop (1994)
380,36955,True Lies (1994)
381,10449,When a Man Loves a Woman (1994)
382,10395,Wolf (1994)
383,12160,Wyatt Earp (1994)
384,40480,Bad Company (1995)
385,52038,"Man of No Importance, A (1994)"
386,29444,S.F.W. (1994)
387,26352,"Low Down Dirty Shame, A (1994)"
388,39953,Boys Life (1995)
389,41580,"Colonel Chabert, Le (1994)"
390,315,Faster Pussycat! Kill! Kill! (1965)
391,22067,Jason's Lyric (1994)
392,18242,"Secret Adventures of Tom Thumb, The (1993)"
393,11667,Street Fighter (1994)
394,32502,Coldblooded (1995)
395,267188,Desert Winds (1995)
396,28732,Fall Time (1995)
397,75555,"Fear, The (1995)"
398,42981,Frank and Ollie (1995)
399,278939,Girl in the Cadillac (1995)
400,291731,Homage (1995)
401,226229,Mirage (1995)
402,203119,Open Season (1996)
403,172923,Two Crimes (Dos crímenes) (1995)
404,316098,Brother Minister: The Assassination of Malcolm X (1994)
405,8011,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
406,171857,Federal Hill (1994)
407,2654,In the Mouth of Madness (1995)
408,18069,8 Seconds (1994)
409,19092,Above the Rim (1994)
410,2758,Addams Family Values (1993)
411,38129,Martin Lawrence: You So Crazy (1994)
412,10436,"Age of Innocence, The (1993)"
413,13595,Airheads (1994)
414,46094,"Air Up There, The (1994)"
415,9409,Another Stakeout (1993)
416,11853,Bad Girls (1994)
417,16771,Barcelona (1994)
418,46924,Being Human (1993)
419,11041,"Beverly Hillbillies, The (1993)"
420,306,Beverly Hills Cop III (1994)
421,14522,Black Beauty (1994)
422,26203,Blink (1994)
423,178,Blown Away (1994)
424,19819,Blue Chips (1994)
425,57834,Blue Sky (1994)
426,4722,Body Snatchers (1993)
427,18215,Boxing Helena (1993)
428,1607,"Bronx Tale, A (1993)"
429,26391,Cabin Boy (1994)
430,117553,Calendar Girl (1993)
431,6075,Carlito's Way (1993)
432,11310,City Slickers II: The Legend of Curly's Gold (1994)
433,18658,Clean Slate (1994)
434,9350,Cliffhanger (1993)
435,9612,Coneheads (1993)
436,2124,Color of Night (1994)
437,26261,Cops and Robbersons (1994)
438,19176,"Cowboy Way, The (1994)"
439,49299,Dangerous Game (1993)
440,11566,Dave (1993)
441,9571,Dazed and Confused (1993)
442,9739,Demolition Man (1993)
443,24257,"Endless Summer 2, The (1994)"
444,34444,Even Cowgirls Get the Blues (1993)
445,26141,Fatal Instinct (1993)
446,10997,Farewell My Concubine (Ba wang bie ji) (1993)
447,50463,"Favor, The (1994)"
448,10443,Fearless (1993)
449,20239,Fear of a Black Hat (1994)
450,16297,With Honors (1994)
451,18551,Flesh and Bone (1993)
452,25440,Widows' Peak (1994)
453,9024,For Love or Money (1993)
454,37233,"Firm, The (1993)"
455,1634,Free Willy (1993)
456,13815,Fresh (1994)
457,5503,"Fugitive, The (1993)"
458,35588,Geronimo: An American Legend (1993)
459,2087,"Getaway, The (1994)"
460,41579,Getting Even with Dad (1994)
461,18620,Go Fish (1994)
462,41006,"Good Man in Africa, A (1994)"
463,4916,Guilty as Sin (1993)
464,2019,Hard Target (1993)
465,31642,Heaven & Earth (1993)
466,9255,Hot Shots! Part Deux (1993)
467,26271,Live Nude Girls (1995)
468,10612,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
469,2259,"House of the Spirits, The (1993)"
470,16097,House Party 3 (1994)
471,11934,"Hudsucker Proxy, The (1994)"
472,106143,I'll Do Anything (1994)
473,12475,In the Army Now (1994)
474,9386,In the Line of Fire (1993)
475,7984,In the Name of the Father (1993)
476,59930,"Inkwell, The (1994)"
477,15765,What's Love Got to Do with It? (1993)
478,31643,Jimmy Hollywood (1994)
479,6,Judgment Night (1993)
480,329,Jurassic Park (1993)
481,10909,Kalifornia (1993)
482,507,Killing Zoe (1994)
483,34024,King of the Hill (1993)
484,29918,Lassie (1994)
485,9593,Last Action Hero (1993)
486,42580,Life with Mikey (1993)
487,22317,Lightning Jack (1994)
488,1413,M. Butterfly (1993)
489,12121,Made in America (1993)
490,2246,Malice (1993)
491,10502,"Man Without a Face, The (1993)"
492,10440,Manhattan Murder Mystery (1993)
493,9516,Menace II Society (1993)
494,2320,Executive Decision (1996)
495,5879,In the Realm of the Senses (Ai no corrida) (1976)
496,83718,What Happened Was... (1994)
497,11971,Much Ado About Nothing (1993)
498,2625,Mr. Jones (1993)
499,31911,Mr. Wonderful (1993)
500,788,Mrs. Doubtfire (1993)
501,21450,Naked (1993)
502,11231,"Next Karate Kid, The (1994)"
503,41588,"New Age, The (1994)"
504,10447,No Escape (1994)
505,31586,North (1994)
506,9300,Orlando (1992)
507,9559,"Perfect World, A (1993)"
508,9800,Philadelphia (1993)
509,713,"Piano, The (1993)"
510,8291,Poetic Justice (1993)
511,18133,"Program, The (1993)"
512,25557,"Puppet Masters, The (1994)"
513,22588,Radioland Murders (1994)
514,10872,"Ref, The (1994)"
515,1245,"Remains of the Day, The (1993)"
516,11858,Renaissance Man (1994)
517,7007,Rising Sun (1993)
518,10467,"Road to Wellville, The (1994)"
519,5550,RoboCop 3 (1993)
520,8005,Robin Hood: Men in Tights (1993)
521,2088,Romeo Is Bleeding (1993)
522,10412,Romper Stomper (1992)
523,47889,Ruby in Paradise (1993)
524,14534,Rudy (1993)
525,56583,"Saint of Fort Washington, The (1993)"
526,41878,"Savage Nights (Nuits fauves, Les) (1992)"
527,424,Schindler's List (1993)
528,35233,"Scout, The (1994)"
529,14291,Searching for Bobby Fischer (1993)
530,103413,Second Best (1994)
531,11236,"Secret Garden, The (1993)"
532,11592,Serial Mom (1994)
533,8850,"Shadow, The (1994)"
534,10445,Shadowlands (1993)
535,695,Short Cuts (1993)
536,43535,"Simple Twist of Fate, A (1994)"
537,12519,Sirens (1994)
538,23210,Six Degrees of Separation (1993)
539,858,Sleepless in Seattle (1993)
540,867,Sliver (1993)
541,78,Blade Runner (1982)
542,13203,Son in Law (1993)
543,10442,So I Married an Axe Murderer (1993)
544,11074,Striking Distance (1993)
545,33367,Harem (1985)
546,9607,Super Mario Bros. (1993)
547,17585,Surviving the Game (1994)
548,9057,Terminal Velocity (1994)
549,20967,Thirty-Two Short Films About Glenn Gould (1993)
550,10635,Threesome (1994)
551,9479,"Nightmare Before Christmas, The (1993)"
552,10057,"Three Musketeers, The (1993)"
553,11969,Tombstone (1993)
554,41590,Trial by Jury (1994)
555,319,True Romance (1993)
556,26408,"War Room, The (1993)"
558,15139,"Pagemaster, The (1994)"
559,161158,"Paris, France (1993)"
560,218473,"Beans of Egypt, Maine, The (1994)"
561,85247,Killer (Bulletproof Heart) (1994)
562,11446,Welcome to the Dollhouse (1995)
563,51980,Germinal (1993)
564,24405,Chasers (1994)
565,11655,Cronos (1993)
566,11800,Naked in New York (1994)
567,8223,Kika (1993)
568,14587,Bhaji on the Beach (1993)
569,31504,Little Big League (1994)
570,41653,"Slingshot, The (Kådisbellan) (1993)"
571,53185,"Wedding Gift, The (1994)"
572,95743,Foreign Student (1994)
573,23637,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
574,17600,Spanking the Monkey (1994)
575,10897,"Little Rascals, The (1994)"
576,349394,Fausto (1993)
577,21352,Andre (1994)
579,68806,"Escort, The (Scorta, La) (1993)"
580,37345,Princess Caraboo (1994)
581,32562,"Celluloid Closet, The (1995)"
582,47507,Métisse (Café au Lait) (1993)
583,25403,Dear Diary (Caro Diario) (1994)
584,124304,I Don't Want to Talk About It (De eso no se habla) (1993)
585,9066,"Brady Bunch Movie, The (1995)"
586,771,Home Alone (1990)
587,251,Ghost (1990)
588,812,Aladdin (1992)
589,280,Terminator 2: Judgment Day (1991)
590,581,Dances with Wolves (1990)
591,80350,Tough and Deadly (1995)
592,268,Batman (1989)
593,274,"Silence of the Lambs, The (1991)"
594,408,Snow White and the Seven Dwarfs (1937)
595,10020,Beauty and the Beast (1991)
596,10895,Pinocchio (1940)
597,114,Pretty Woman (1990)
598,41043,Window to Paris (Okno v Parizh) (1994)
599,576,"Wild Bunch, The (1969)"
600,15477,Love and a .45 (1994)
601,59146,"Wooden Man's Bride, The (Yan shen) (1994)"
602,124472,"Great Day in Harlem, A (1994)"
603,30528,"Bye Bye, Love (1995)"
605,7300,One Fine Day (1996)
606,10824,Candyman: Farewell to the Flesh (1995)
607,261246,Century (1993)
608,275,Fargo (1996)
609,25059,Homeward Bound II: Lost in San Francisco (1996)
610,11827,Heavy Metal (1981)
611,8766,Hellraiser: Bloodline (1996)
612,23570,"Pallbearer, The (1996)"
613,47333,Jane Eyre (1996)
614,54850,Loaded (1994)
615,51242,Bread and Chocolate (Pane e cioccolata) (1973)
616,10112,"Aristocats, The (1970)"
617,4307,"Flower of My Secret, The (La flor de mi secreto) (1995)"
618,46029,Two Much (1995)
619,32308,Ed (1996)
620,88893,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)
621,52873,My Favorite Season (1993)
623,123505,"Modern Affair, A (1995)"
624,340210,Condition Red (Beyond the Law) (1995)
625,44281,Asfour Stah (1990)
626,28121,"Thin Line Between Love and Hate, A (1996)"
627,12520,"Last Supper, The (1995)"
628,1592,Primal Fear (1996)
629,166901,Rude (1995)
630,36447,Carried Away (1996)
631,19042,All Dogs Go to Heaven 2 (1996)
632,38884,Land and Freedom (Tierra y libertad) (1995)
633,47449,Denise Calls Up (1995)
634,36259,Theodore Rex (1995)
635,41852,"Family Thing, A (1996)"
636,40926,Frisk (1995)
637,9099,Sgt. Bilko (1996)
638,2021,Jack and Sarah (1995)
639,61752,Girl 6 (1996)
640,10988,Diabolique (1996)
641,11479,"Little Indian, Big City (Un indien dans la ville) (1994)"
642,398959,Roula (1995)
643,287305,Peanuts - Die Bank zahlt alles (1996)
644,339428,Happy Weekend (1996)
645,12652,Nelly & Monsieur Arnaud (1995)
647,10684,Courage Under Fire (1996)
648,954,Mission: Impossible (1996)
649,68445,Cold Fever (Á köldum klaka) (1995)
650,18989,Moll Flanders (1996)
651,10801,"Superweib, Das (1996)"
652,54285,"301, 302 (301/302) (1995)"
653,8840,Dragonheart (1996)
654,278978,And Nobody Weeps for Me (Und keiner weint mir nach) (1996)
655,124625,My Mother's Courage (Mutters Courage) (1995)
656,11107,Eddie (1996)
657,16417,Yankee Zulu (1994)
658,70934,Billy's Holiday (1995)
659,10363,Purple Noon (Plein soleil) (1960)
660,161070,August (1996)
661,10539,James and the Giant Peach (1996)
662,10543,Fear (1996)
663,18414,Kids in the Hall: Brain Candy (1996)
664,47502,Faithful (1996)
665,11902,Underground (1995)
666,27098,All Things Fair (Lust och fägring stor) (1995)
667,25087,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
668,5801,Song of the Little Road (Pather Panchali) (1955)
670,896,"World of Apu, The (Apur Sansar) (1959)"
671,3065,Mystery Science Theater 3000: The Movie (1996)
672,318177,Tarantella (1995)
673,2300,Space Jam (1996)
674,8069,Barbarella (1968)
675,288173,Hostile Intentions (1994)
676,187851,They Bite (1996)
678,27768,Some Folks Call It a Sling Blade (1993)
679,221917,"Run of the Country, The (1995)"
680,8072,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
681,35797,Coup de torchon (Clean Slate) (1981)
682,88030,Tigrero: A Film That Was Never Made (1994)
683,185191,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
684,83857,Windows (1980)
685,33245,It's My Party (1996)
687,124460,Country Life (1994)
688,27281,Operation Dumbo Drop (1995)
690,105045,"Promise, The (Versprechen, Das) (1995)"
691,40001,Mrs. Winterbourne (1996)
692,29621,Solo (1996)
693,117730,Under the Domim Tree (Etz Hadomim Tafus) (1994)
694,20762,"Substitute, The (1996)"
695,37144,True Crime (1996)
696,48260,Butterfly Kiss (1995)
697,12656,Feeling Minnesota (1996)
698,38867,Delta of Venus (1995)
699,277270,To Cross the Rubicon (1991)
700,25969,Angus (1995)
701,44103,Daens (1992)
702,753,Faces (1968)
703,43634,Boys (1996)
704,9103,"Quest, The (1996)"
705,90214,Cosi (1996)
706,29649,Sunset Park (1996)
707,10990,Mulholland Falls (1996)
708,8866,"Truth About Cats & Dogs, The (1996)"
709,12233,Oliver & Company (1988)
710,23449,Celtic Pride (1996)
711,36355,Flipper (1996)
712,37667,Captives (1994)
713,90148,Of Love and Shadows (1994)
714,922,Dead Man (1995)
715,11876,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
716,52633,Switchblade Sisters (1975)
717,62364,Mouth to Mouth (Boca a boca) (1995)
718,11687,"Visitors, The (Visiteurs, Les) (1993)"
719,9304,Multiplicity (1996)
722,73183,"Haunted World of Edward D. Wood Jr., The (1996)"
723,131232,Two Friends (1986)
724,9100,"Craft, The (1996)"
725,20759,"Great White Hype, The (1996)"
726,46063,Last Dance (1996)
727,365371,War Stories (1995)
728,32513,Cold Comfort Farm (1995)
729,40651,"Institute Benjamenta, or This Dream People Call Human Life (1995)"
731,36915,Heaven's Prisoners (1996)
732,40507,Original Gangstas (1996)
733,9802,"Rock, The (1996)"
734,25697,Getting Away With Murder (1996)
735,21588,Cemetery Man (Dellamorte Dellamore) (1994)
736,664,Twister (1996)
737,11867,Barb Wire (1996)
738,47119,"Garçu, Le (1995)"
741,9323,Ghost in the Shell (Kôkaku kidôtai) (1995)
742,10280,Thinner (1996)
743,10535,Spy Hard (1996)
744,124613,Brothers in Trouble (1995)
745,532,Wallace & Gromit: A Close Shave (1995)
746,26744,Force of Evil (1948)
